artist_id,music_author,music_title,popularity,song_id,album,release_date
7502fDxg339jvGV08Jd4R0,Jasiah,Crisis,71,0IGxkEgMeF1dwOSIj2IUrT,Crisis,2020-07-27
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,Therefore I Am,97,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,2020-11-12
656DEjf8bYlGw2DqBj28qz,Danilo Stankovic,Pieces,40,0MCdZnS4srzHUHWcV7pHNK,Pieces,2020-09-17
45TgXXqMDdF8BkjA83OM7z,Rod Wave,Rags2Riches (feat. ATR Son Son),78,1ENdcyhqdylaLsPVgB83qq,Pray 4 Love,2020-04-03
3Rx4PJ7SP6unkOk5elPUK7,Money Man,24,77,2FVMbLuIxo0dz3KLXgN6Jh,Epidemic,2020-03-02
4DMkrFIqGXLycc4YLYTn1i,Tiagz,They Call Me Tiago (Her Name Is Margo),72,1UxYmRBBJMMuzYcK9miSYs,They Call Me Tiago (Her Name Is Margo),2020-02-27
3mBCzPtPPDHx4YtXGBvkQx,Ashton Gleckman,"Ice Dance (From ""Edward Scissorhands"")",54,0zCtZXgVhl2jG9a1nalGOk,A Night at the Movies,2020-03-04
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Lonely (with benny blanco),70,7HWetAoWK9qkFM575HONAY,Lonely (with benny blanco),2020-10-16
77UOS3mEkG3BpnpUGmqLe5,Number9ok,Garage Room Freestyle (Reel It In),60,0buOF1gvLBupoSZSaycYWD,Garage Room Freestyle (Reel It In),2020-10-14
6CTStccOisUTgXVrtCIANm,Ricky Desktop,The Chicken Wing Beat,69,4SgacK8EAeeP6tYklRIzJx,The Chicken Wing Beat,2020-06-13
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,HOLIDAY,95,6zFMeegAMYQo0mt8rXtrli,HOLIDAY,2020-11-13
7kyvT8frmGxnDq6XzAl3dJ,King Bach,Clatter,45,5FTguGSH2WJbD29tMxWfNz,Clatter,2020-08-05
2JbE7jUIGtpXSzytnyMg6U,Curtis Waters,Stunnin' (feat. Harm Franklin),79,2D0dj3hVkRQJCp63cxCPEx,Stunnin' (feat. Harm Franklin),2020-05-19
5L8p9kDnX2cgoI8VLUL2p4,BeatKing,Then Leave (feat. Queendome Come),73,2Xoc4gqPbBa3QHKpBLJ5l8,Then Leave (feat. Queendome Come),2020-03-27
02gxAQQqp79oDTeabKDIyR,Losfrms800,Chicago Freestyle - Remix,52,4zAM34o2geYjhHw1kBBxjq,Chicago Freestyle (Remix),2020-04-25
08PvCOlef4xdOr20jFSTPd,Flo Milli,May I,75,1GcXzijYzyfMq6wryZjYW5,"Ho, why is you here ?",2020-07-24
15K8w0bfYieOr55vhSMgJN,Edith Whiskers,Home,79,2qPSa6HXjzwa9sLhNGpA1T,Home,2020-10-16
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,Cry Baby (feat. DaBaby),85,4aarlAfLKVCTxUDNgbwhjH,Good News,2020-11-20
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,TKN (feat. Travis Scott),85,4w47S36wQGBhGg073q3nt7,TKN (feat. Travis Scott),2020-05-28
053fl1QPQFGqSPPxSPcacT,Loui,Talk N Bout (Talm Bout) [feat. Lil Jay],54,2u6L7UWV3xmS58sIf6JePD,Talk N Bout (Talm Bout) [feat. Lil Jay],2020-01-03
7gXb99Sf9nNmpNYeAgIQFG,Sub Urban,Freak (feat. REI AMI),79,5jkbw3FDS3bSSb4oLKYbjf,Thrill Seeker,2020-03-13
6lay1nwbE6hTx1jivysUAL,Princess Nokia,I Like Him,77,68UU9oaQtMDnh6PRlW842H,Everything Sucks,2020-02-26
3TVXtAsR1Inumwj472S9r4,Drake,Toosie Slide,86,127QTOFJsJQp5LbJbu3A1y,Toosie Slide,2020-04-03
4Gso3d4CscCijv0lmajZWs,Don Toliver,No Idea,85,7AzlLxHn24DxjgQX73F9fU,Heaven Or Hell,2020-03-13
0bBz5bRBkExaej2HxtVfCw,347aidan,Dancing in My Room,87,6Pgmqg15yVexuOgtzuxwoX,Dancing in My Room,2020-10-26
3QJUFtGBGL05vo0kCJZsmT,salem ilese,Mad at Disney,87,7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,2020-07-24
0RSogp4qeGu0ZM71JRTay3,XIX,Kismet,58,7EIjhHMKF4kmXxkB64Bq6O,Kismet,2020-05-12
0Jdu4KxR4ViDPoVn5VkoLh,Hip Hop Harry,Go Go Go Who's Next?,47,05ZCB3zzpyYBivfLwaTde4,Go Go Go Who's Next?,2020-06-17
6bmlMHgSheBauioMgKv2tn,Powfu,death bed (coffee for your head),92,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),2020-02-08
3MZsBdqDrRTJihTHQrO6Dq,Joji,Gimme Love,77,2hfoyc7ve6xM4ZEiNIiU1B,Gimme Love,2020-04-16
7arQA31aZVS8yS6zUveWzb,CJ,Whoopty,96,5vGLcdRuSbUhD8ScwsGSdA,Whoopty,2020-08-20
3UcRoVqRnDLp7i4sPmsnNE,Spencer X,Be Somebody,44,69ZbYF0eIxmQi5tFeWSY8e,Be Somebody,2020-09-12
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,Yummy,81,41L3O37CECZt3N7ziG2z7l,Yummy,2020-01-03
